Label (Grouping),"Chicago city, Illinois!!Estimate","Chicago city, Illinois!!Margin of Error"
Total:,"179,530","±3,566"
    Asian Indian,"38,328","±2,338"
    Bangladeshi,508,±306
    Bhutanese,56,±66
    Burmese,"1,277",±496
    Cambodian,"1,158",±415
"    Chinese, except Taiwanese","57,393","±2,033"
    Filipino,"31,023","±2,333"
    Hmong,125,±79
    Indonesian,242,±94
    Japanese,"4,840",±579
    Korean,"12,316","±1,110"
    Laotian,347,±137
    Malaysian,480,±340
    Mongolian,966,±392
    Nepalese,"1,501",±619
    Okinawan,0,±27
    Pakistani,"8,342","±1,155"
    Sri Lankan,561,±291
    Taiwanese,"1,227",±233
    Thai,"3,342",±736
    Vietnamese,"10,448","±1,430"
"    Other Asian, specified",99,±64
"    Other Asian, not specified","1,201",±325
    Two or more Asian,"3,750",±564
